Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
12881|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Эртек»|1127847098367||7801567919|№ 635 от 30.11.2020||ул. Железноводская, д. 13, лит. Б, раб. место 11, г. Санкт-Петербург, 199155
12882|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ДИСИ КОММЬЮНИКЕЙШН»|1154350014620||4345431615|№ 635 от 30.11.2020||ул. им. Фрунзе, д. 163, офис. 401, г. Краснодар, Краснодарский край, 350000
12883|2020-11-30 00:00:00|Общество с ограниченной ответственностью «МЕГАТЕХ»|1207700399356||7707444772|№ 635 от 30.11.2020||пер. Оружейный, д. 41, этаж 11, пом. 11.06, г. Москва, 127006
12884|2020-11-30 00:00:00|Акционерное общество «Крибрум»|1107746952433||7731661104|№ 635 от 30.11.2020||тер. Инновационного центра «Сколково», б-р Большой, д. 42, стр. 1, эт. 0, пом. 263, раб. 20, г. Москва, 121205
12885|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Оптимальные алгоритмы»|5107746041300||7728758949|№ 635 от 30.11.2020||наб. Северной Двины, д. 30, этаж 3, пом. 42, г. Архангельск, Архангельская обл., 163069
12886|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ОПТИМЕНГА-777»|1127746032490||7731420500|№ 635 от 30.11.2020||ул. Луговая, д. 4, 7, 2к, территория Сколково Инновационного центра, г. Москва, 143026
12887|2020-11-30 00:00:00|Общество с ограниченной ответственностью «АйТи МегаБокс»|1205400051350||5408028178|№ 635 от 30.11.2020||ул. Разъездная, д. 14, этаж 5, г. Новосибирск, Новосибирская обл., 630055
12888|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ТР-СОФТ»|1197847091210||7802689050|№ 635 от 30.11.2020||пр-т Сампсониевский, д. 87, лит. А, пом. 2-Н,. Каб. 97, г. Санкт-Петербург, 194156
12889|2020-11-30 00:00:00|Общество с ограниченной ответственностью «СТАРКАСТ»|1207700240120||9709063367|№ 635 от 30.11.2020||Лубянский пр-д, д. 27/1, стр. 1, пом. 50, г. Москва, 101000
12890|2020-11-30 00:00:00|Общество с ограниченной ответственностью «СкайЛаб»|1127747206190||7730676732|№ 635 от 30.11.2020||ул. Минская, д. 2Г, корп. 1, г. Москва, 119590
12891|2020-11-30 00:00:00|Акционерное общество «НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР «ИНФОРМАЦИОННОЕ МОДЕЛИРОВАНИЕ»|1207700249437||9709063568|№ 635 от 30.11.2020||Серебряническая наб., д. 27, эт. 3, пом. II, к. 3, оф. 302, г. Москва, 109028
12892|2020-11-30 00:00:00|Общество с ограниченной ответственностью «АПЕКС Технолоджи»|1183926018880||3906369963|№ 635 от 30.11.2020||пр-т Советский, д. 12, этаж 4, офис 401А, г. Калининград, Калининградская обл., 236022
12893|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Система плюс»|1025801496852||5838041773|№ 635 от 30.11.2020||ул. Ленина, 43, 116, г. Заречный, Пензенская обл., 442962
12894|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ПЯТЬ УГЛОВ»|7729671176||7729671176|№ 635 от 30.11.2020||пер. 2-й Кожевнический, д. 12, эт/пом/ком/ 3/1/4, г. Москва, 115114
12895|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Интеллект Диджитал»|5177746312717||7714419921|№ 635 от 30.11.2020||ул. Правды, д. 17/19, стр. 1, пом. 111, комната № 1-8, г. Москва, 125040
12896|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ЭйАй Технолоджи»|1207700406154||7743349059|№ 635 от 30.11.2020||ул. Автомоторная, д 1/3, стр. 2, эт 6/П I/K 38B/НРМ 8, г. Москва, 125438
12897|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Инфосистемы-КС»|1131447002851||1435264233|№ 635 от 30.11.2020||ул. Аммосова, д. 8, офис 517, г. Якутск, Республика Саха (Якутия), 677018
12898|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Визитек»|1156501002206||6501272461|№ 635 от 30.11.2020||ул. Пограничная, д. 120, лит. «В», офис 4, г. Южно-Сахалинск, Сахалинская обл., 693006
12899|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Сделка.Цифровая платформа»|1206600046355||6671111648|№ 635 от 30.11.2020||ул. Гоголя, д. 18, пом. 329, г. Екатеринбург, Свердловская обл., 620026
12900|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Сайбер»|1207800129217||7814781243|№ 635 от 30.11.2020||аллея Липовая, д. 9, лит. А, пом. 8Н, ком. 618, г. Санкт-Петербург, 197183
12901|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Риал Стэк»|1207800132836||7814781525|№ 635 от 30.11.2020||аллея Липовая, д. 9, лит. А, пом. 6Н, ком. 404, г. Санкт-Петербург, 197183
12902|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Эмлаб»|1085074010614||5036093343|№ 635 от 30.11.2020||ул. Тепличная, 10, 86, г. Подольск, Московская обл., 142100
12903|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Криптон Студио»|1187031051536||7017439134|№ 635 от 30.11.2020||ул. Мельничная, д. 45А, пом. П014, г. Томск, Томская обл., 634009
12904|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Траектория времени»|1145958088440||5904004865|№ 635 от 30.11.2020||ул. Стахановская, д. 45, офис 311, г. Пермь, Пермский край, 614066
12905|2020-11-30 00:00:00|Общество с ограниченной ответственностью «БЬЮТИ ДЕВЕЛОПМЕНТ СИСТЕМС»|1187847191575||7807207038|№ 635 от 30.11.2020||ул. Бухарестская, д. 67, корп. 1, лит. А, г. Санкт-Петербург, 192286
12906|2020-11-30 00:00:00|Акционерное общество «Научно-производственный центр «МАКС»|1027700178934||7722010258|№ 635 от 30.11.2020||ул. Профсоюзная, д. 108, г. Москва, 117437
12907|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ТУ СОФТ»|1207700106570||7734433635|№ 635 от 30.11.2020||ул. Рогова, д. 12, пом. II, комн. 5, офис 44, г. Москва, 123098
12908|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Безопасные программные решения»|1185835008534||5836687096|№ 635 от 30.11.2020||ул. Московская, стр. 29, пом. 1, этаж 7, г. Пенза, Пензенская обл., 440000
12909|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Юзтех»|1067760634292||7701693420|№ 635 от 30.11.2020||б-р Ракетный, д. 16, этаж 18, пом. XLII, комн. 8А, г. Москва, 129164
12910|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Паравеб»|1177031069214||7017421754|№ 635 от 30.11.2020||пр-т Ленина, д. 94, пом. 5001, г. Томск, Томская обл., 634009
12911|2020-11-30 00:00:00|Общество с ограниченной ответственностью «СТИК ПРО»|1207800109065||7839130405|№ 635 от 30.11.2020||пр-т Английс, офис 2, г. Санкт-Петербург, 190121
12912|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Аметрика»|1167847213225||7806236558|№ 635 от 30.11.2020||ул. Маяковского, д. 3Б, лит. А, пом. 4-Н (6), г. Санкт-Петербург, 191025
12913|2020-11-30 00:00:00|Общество с ограниченной ответственностью «М12СИСТЕМС»|1131690009395||1661035340|№ 635 от 30.11.2020||ул. Восход, д. 45, лит. П, комн. 60, г. Казань, Респ. Татарстан, 420036
12914|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Витте Про»|1207700403613||7727454585|№ 635 от 30.11.2020||ул. Кедрова, д. 15, этаж 1, пом. II, комн. 6, г. Москва, 117036
12915|2020-11-30 00:00:00|Общество с ограниченной ответственностью «БИОСОФТ.РУ»|1085475002117||5433172898|№ 635 от 30.11.2020||ул. Русская, д. 41, 1, 11, г. Новосибирск, Новосибирская обл., 630058
12916|2020-11-30 00:00:00|Общество с ограниченной ответственностью «БКС Финтех»|1197746523259||9731050500|№ 635 от 30.11.2020||тер. Инновационного центра «Сколково», Большой б-р, д. 40, пом/ком XXVIII/138-149,155, г. Москва, 121205
12917|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Малое инновационное предприятие «БИНОМИКС-РЭЙ»|1185275057472||5262359607|№ 635 от 30.11.2020||пр-т Гагарина, д. 25, корп. 1, офис 6211, 6212, г. Нижний Новгород, Нижегородская обл., 603057
12918|2020-11-30 00:00:00|Общество с ограниченной ответственностью «МетаСолюшен Рус»|1167746237966||7729496446|№ 635 от 30.11.2020||ул. Большая Тульская, д. 10, стр. 3, офис 312, г. Москва, 115191
12919|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Альфа Консалт»|1167746786591||7709971559|№ 635 от 30.11.2020||ул. Воронцовская, д. 35, офис 203, г. Москва, 109147
12920|2020-11-30 00:00:00|Общество с ограниченной ответственностью «РТК-Иксора»|1207700160095||9715383326|№ 635 от 30.11.2020||ул. Илимская, д. 5, корп. 2, э/пом 5/z 501, г. Москва, 127576
12921|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ОБЛАЧНАЯ ПЛАТФОРМА АУТСОРСИНГА»|5177746047045||7731386419|№ 635 от 30.11.2020||тер. Инновационного центра «Сколково», Большой б-р, д. 42, стр. 1, эт. 2, пом. № 726 и 727, г. Москва, 121205
12922|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Медицинские Компьютерные Технологии»|1032305689228||2311057250|№ 635 от 30.11.2020||ул. им. Бабушкина, д. 295, офис 7.3, г. Краснодар, Краснодарский край, 350020
12923|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Телепорт»|1074345023521||4345179490|№ 635 от 30.11.2020||ул. Карла Маркса, д. 127, офис 302, г. Киров, Кировская обл., 610027
12924|2020-11-30 00:00:00|Акционерное общество «Эдьюкейшн Терра»|1205400049810||5408028107|№ 635 от 30.11.2020||ул. Инженерная, д. 4А, этаж/офис 7/726, г. Новосибирск, Новосибирская обл., 630090
12925|2020-11-30 00:00:00|Акционерное общество «ЭкоКомпьютерс»|1205400051450||5408028185|№ 635 от 30.11.2020||ул. Инженерная, д. 4А, этаж/офис 7/726, г. Новосибирск, Новосибирская обл., 630090
12926|2020-11-30 00:00:00|Акционерное общество «MувАпп»|1205400049986||5408028121|№ 635 от 30.11.2020||ул. Инженерная, д. 4А, этаж/офис 7/7711, г. Ноосибирск, Новосибирская обл., 630090
12927|2020-11-30 00:00:00|Общество с ограниченной ответственностью «МьюзиКод»|120540004830||5408028001|№ 635 от 30.11.2020||ул. Инженерная, д. 4А, этаж/офис 7/7711, г. Ноосибирск, Новосибирская обл., 630090
12928|2020-11-30 00:00:00|Акционерное общество «ЭпплайСофт»|1205400051010||5408028160|№ 635 от 30.11.2020||ул. Инженерная, д. 4А, этаж/офис 5/533, г. Ноосибирск, Новосибирская обл., 630090
12929|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Вэбсейлорс»|1206100033721||6154158895|№ 635 от 30.11.2020||ул. Петровская, д. 51, офис 51, г. Таганрог, Ростовская обл., 347900
12930|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ОптимизациЯ»|1085260008602||5260227813|№ 635 от 30.11.2020||ул. Студеная, д. 5, эт. 4, офис 2, г. Нижний Новгород, Нижегородская обл., 603000
12931|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Лабаротория ЕЮС»|1187746008713||7707403504|№ 635 от 30.11.2020||пр-д Багратионовский, д. 7, корп. 20В, офис 421, г. Москва, 121087
12932|2020-11-30 00:00:00|Общество с ограниченной ответственностью «СофтТехноПарк»|1052305746382||2310106466|№ 635 от 30.11.2020||ул. им. Янковского, 106, г. Краснодар, Краснодарский край, 350000
12933|2020-11-30 00:00:00|Общество с ограниченной ответственностью «СИТИ БРЕЙК ТУРС»|1177847316570||7842141534|№ 635 от 30.11.2020||ул. Большая Морская, д. 3-5, лит. А, пом. 3-Н:226, г. Санкт-Петербург, 191186
12934|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ИТ КОНСАЛТ»|1205000090360||5003141552|№ 635 от 30.11.2020||ул. Березовая, д. 9, пом. 24, офис 24, г. Видное, р-н Ленинский, Московская обл., 142701
12935|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Мост Геймз»|1167746380900||9715255155|№ 635 от 30.11.2020||ул. Новодмитровская, д. 2, корп. 2, этаж 15, лит. А, пом. XLIII, г. Москва, 127015
12936|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Квазар»|1147746020179||7727824532|№ 635 от 30.11.2020||ул. Большая Тульская, д. 10, стр. 3, офис 316, г. Москва, 115191
12937|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Группа компаний ЕРМАК-Екатеринбург»|1156658069028||6671022814|№ 635 от 30.11.2020||ул. Радищева, д. 6А, пом. 8, г. Екатеринбург, Свердловская обл., 620014
12938|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Группа компаний Ермак-Спб»|1147847358284||7842529380|№ 635 от 30.11.2020||ул. Черняховкого, д. 52, лит. Г, пом. 1-Н, г. Санкт-Петербург, 191040
12939|2020-11-30 00:00:00|Общество с ограниченной ответственностью «СЕВЕРСОФТПРО»|1201400010954||1435356004|№ 635 от 30.11.2020||ул. Ларионова, д. 10, кв. 21, г. Якутск, Республика Саха (Якутия), 677000
12940|2020-11-30 00:00:00|Общество с ограниченной ответственностью «МЕДСЕТЬ»|1191447012393||1435345644|№ 635 от 30.11.2020||ул. Ларионова, д. 10, кв. 21, г. Якутск, Республика Саха (Якутия), 677000
12941|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Сайбер»|1207800129217||7814781243|№ 635 от 30.11.2020||аллея Липовая, д. 9, лит. А, пом. 8Н, ком. 618, г. Санкт-Петербург, 197183
12942|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ИНТЕРТЕЛЕКОМСЕРВИС»|1037851017291||7826698906|№ 635 от 30.11.2020||ул. Красного Курсанта, д. 25, лит. Н, пом. 94, г. Санкт-Петербург, 197110
12943|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Специальные Электронные Системы»|1089847196790||7839382233|№ 635 от 30.11.2020||ул. Красного Курсанта, д. 25, лит. Н, офис 307, г. Санкт-Петербург, 197110
12944|2020-11-30 00:00:00|Общество с ограниченной ответственностью «АЙТИКОМ СЕКЬЮРИТИ»|1089847196790||7714446202|№ 635 от 30.11.2020||ул. Верхняя Масловка, д. 20, стр. 1, ком. 5Б, 1 этаж, пом. V, г. Москва, 127083
12945|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Агентство кода»|1202300058168||2311311394|№ 635 от 30.11.2020||ул. Красных Партизан, д. 247, офис 1, г. Краснодар, Краснодарский край, 350047
12946|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Автоматизация Бизнес Систем»|1203800019565||3811470683|№ 635 от 30.11.2020||ул. Байкальская, д. 236Б, пом. 2, г. Иркутск, Иркутская обл., 664075
12947|2020-11-30 00:00:00|Общество с ограниченной ответственностью «СМАРТТУРБОТЕХ»|1207700352100||7722492033|№ 635 от 30.11.2020||пр-д Завода Серп и Молот, д. 6, эт. 4, оф. 412, ком. 7.1, Москва, 111250
12948|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ПИК-Юг»|1022302387601||2315087697|№ 635 от 30.11.2020||ул. Леднева, 5, г. Новороссийск, Краснодарский край, 353900
12949|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Резольвента»|1095406030411||5406546216|№ 635 от 30.11.2020||ул. Семьи Шамшиных, д. 12, этаж 1, г. Новосибирск, Новосибирская обл, 630099
12950|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Твин3Д»|1197746473759||9717084770|№ 635 от 30.11.2020||пр-т Мира, д. 101, стр. 1, этаж 4, пом. I, K. 7, оф. 4, г. Москва, 129085
12951|2020-11-30 00:00:00|Общество с ограниченной ответственностью «АйТи-Уайт»|1207800109604||7802882279|№ 635 от 30.11.2020||пр-т Пархоменко, д. 10, корп. 2, лит. А, офис 305, рабочее место №2, г. Санкт-Петербург, 194156
12952|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ТРИАСОФТ-СЕРВИС»|1047796151270||7735502458|№ 635 от 30.11.2020||аллея Солнечная, д. 6, пом/ком VII/2, г. Зеленоград, г. Москва, 124527
12953|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ТР-069»|1081690048417||1655161970|№ 635 от 30.11.2020||ул. Николая Ершова, д. 18, г. Казань, Респ. Татарстан, 420061
12954|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Знаменка Капитал»|1097746295844||7704727130|№ 635 от 30.11.2020||пер. Большой Знаменский, д. 2, стр. 3, каб. 35, г. Москва, 119019
12955|2020-11-30 00:00:00|Общество с ограниченной ответственностью «НООСФЕРА»|1187746321619||7716907628|№ 635 от 30.11.2020||ул. Холмогорская, д. 2, корп. 3, этаж 1, пом. XV, комн. 15, офис 271, г. Москва, 129347
12956|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Геймрам»|1207700339990||9717094760|№ 635 от 30.11.2020||ул. Академика Королева, д. 8, корп. 1, кв. 8, г. Москва, 129515
12957|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Софтлайн Платформы»|5157746055385||7723418184|№ 635 от 30.11.2020||пр-д 2-й Южнопортовый, д. 31, стр. 1, этаж 3, часть комн. 303, г. Москва, 115088
12958|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Интернет университет»|1177746829292||7726407960|№ 635 от 30.11.2020||пер. Духовской, д. 17, эт. 2, пом. 1, оф. 212А, г. Москва, 115191
12959|2020-11-30 00:00:00|Общество с ограниченной ответственностью «РТ Дата Солюшн»|1207700181919||9715384175|№ 635 от 30.11.2020||ул. Новодмитровская, д. 2, корп. 2, оф. XLVII, г. Москва, 127015
12960|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Баду Девелопмент»|1087746874676||7707670877|№ 635 от 30.11.2020||Цветной б-р, 2, этаж 5, пом. I, ком. 14, г. Москва, 127051
12961|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Норсофт»|1173668053525||3664231508|№ 635 от 30.11.2020||ул. Бахметьева, д. 2Б, пом. I, офис 404, г. Воронеж, Воронежская обл., 394006
12962|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Лекс Системс»|1207800123816||7839131536|№ 635 от 30.11.2020||ул. Лифляндская, д. 6, лит. М, пом. 49-Н, офис 5, г. Санкт-Петербург, 190020
12963|2020-11-30 00:00:00|Общество с ограниченной ответственностью «АйТи Про»|1077760500950||7718666590|№ 635 от 30.11.2020||пл. Малая Сухаревская, д. 3, ан. 1, п. III, к. 2, о. 28, г. Москва, 129090
12964|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Лаборатория Финтех Сервисов»|1197746474914||7734428096|№ 635 от 30.11.2020||ул. Маршала Соколовского, д. 5, эт. 2, ком. 20Б, г. Москва, 123060
12965|2020-11-30 00:00:00|Общество с ограниченной ответственностью «УЦ Компьютер-Пресс Технологии»|1037739656680||7726287282|№ 635 от 30.11.2020||ш. Щёлковское, д. 23А, г. Москва, 107241
12966|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ДЖЕК-АЙТИ»|1157746558540||9705041980|№ 635 от 30.11.2020||пер. Партийный, д. 1, корп. 58, стр. 2, этаж 4, офис 26А, г. Москва, 115093
12967|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Холдем»|1207700323962||9705147714|№ 635 от 30.11.2020||ул. Люсиновская, д. 36, стр. 1, этаж 4, ком. 7, г. Москва, 115093
12968|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Энергоэкспертсервис»|1027739320300||7724244011|№ 635 от 30.11.2020||ш. Каширское, д. 22, корп. 3, этаж 8, пом. 2, г. Москва, 115201
12969|2020-11-30 00:00:00|Общество с ограниченной ответственностью «РВД Инфосистемы»|1037800000435||7801076967|№ 635 от 30.11.2020||пр-т Малый В.О., 33 А 5-Н, г. Санкт-Петербург, 199178
12970|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Юнителлер Платформ»|1177746349550||7731358161|№ 635 от 30.11.2020||тер. Инновационного центра «Сколково», Большой б-р, д. 42, стр. 1, часть пом 1660, г. Москва, 121205
12971|2020-11-30 00:00:00|Общество с ограниченной ответственностью «Веб-Индастри Про»|1207800142329||7842186038|№ 635 от 30.11.2020||ул. Новгородская, д. 23, лит. А, пом. 156-Н, оф. 314, г. Санкт-Петербург, 191124
12972|2020-11-30 00:00:00|Общество с ограниченной ответственностью «МСТ»|1157746163541||7708248890|№ 635 от 30.11.2020||ул. Выборгская, д. 16, стр. 4, мансарда пом. I, ком. 3, г. Москва, 125212
12973|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ЭлРос»|1123328005250||3328484929|№ 635 от 30.11.2020||ул. Сакко и Ванцетти, д. 50, этаж 1, каб. 23, г. Владимир, Владимирская обл., 600017
12974|2020-11-30 00:00:00|Общество с ограниченной ответственностью «ТЕКО ЛОГИСТИКА»|1197746000275||7702460668|№ 635 от 30.11.2020||ул. Ленинская Слобода, д. 26, стр. 28, этаж 3, комн. 225, г. Москва, 115280
12975|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Альфатех»|1131690085493||1660194347|№ 725 от 18.12.2020||пр-т Ямашева, д. 45А, оф. 1, пом. 415, г. Казань, Республика Татарстан, 420124
12976|2020-12-18 00:00:00|Общество с ограниченной ответственностью «ШТОРМ Технологии»|5167746431694||9701058069|№ 725 от 18.12.2020||тер. Инновационного центра «Сколково», ул. Нобеля, д. 5, эт. 2, пом. 39, место 1, г. Москва, 121205
12977|2020-12-18 00:00:00|Общество с ограниченной ответственностью «ТАКСОФТ»|1080327000357||323343573|№ 725 от 18.12.2020||ул. Бабушкина, 14А, 30, г. Улан-Удэ, Респубика Бурятия, 670031
12978|2020-12-18 00:00:00|Общество с ограниченной ответственностью «СПАРК ТЕХ»|1207700327295||9715389110|№ 725 от 18.12.2020||ул. Илимская, д. 2, э. 1, пом. XIII, к. 1, рм. 2, г. Москва, 127576
12979|2020-12-18 00:00:00|Общество с ограниченной ответственностью «АЛЬТЕК»|1187847027961||7813299125|№ 725 от 18.12.2020||ул. Большая Монетная, д. 21/9, лит. А, пом. 2Н, офис 1, г. Санкт-Петербург, 197101
12980|2020-12-18 00:00:00|Общество с ограниченной ответственностью «СКИЛАЗ»|1177746032276||7722388120|№ 725 от 18.12.2020||тер. Инновационного центра «Сколково», ул. Нобеля, д. 5, эт. 1, пом. 1, рабочее место 11, г. Москва, 143026
12981|2020-12-18 00:00:00|Общество с ограниченной ответственностью «СНГС/ЦИФРА»|1137746237397||7729735655|№ 725 от 18.12.2020||ул. Ленинские горы, вл. 1, стр. 75Д, пом. 26, г. Москва, 119234
12982|2020-12-18 00:00:00|Общество с ограниченной ответственностью «СИТИ БРЕЙК ТУРС»|1177847316570||7842141534|№ 725 от 18.12.2020||ул. Большая Морская, д. 3-5, лит. А, пом. 3-Н:226, г. Санкт-Петербург, 191186
12983|2020-12-18 00:00:00|Общество с ограниченной ответственностью «СЕРВИС ЦЕНТР ПКС»|1195958024602||5902054719|№ 725 от 18.12.2020||ул. Куйбышева, д. 2, офис 204, г. Пермь, Пермский край, 614015
12984|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Адастра»|1127747041234||7724850206|№ 725 от 18.12.2020||ул. Вавилова, д. 57А, оф. 311, ком. 14, г. Москва, 117292
12985|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Группа компаний ЕРМАК-Екатеринбург»|1156658069028||6671022814|№ 725 от 18.12.2020||ул. Радищева, д. 6А, пом. 8, г. Екатеринбург, Свердловская обл., 620014
12986|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Группа компаний ЕРМАК-СПБ»|1147847358284||7842529380|№ 725 от 18.12.2020||ул. Черняховкого, д. 52, лит. Г, пом. 1-Н, г. Санкт-Петербург, 191040
12987|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Оператор ТП»|1177746401623||9701072384|№ 725 от 18.12.2020||ул. Нижняя Красносельская, д. 35, стр. 9, эт. 3, пом. Б/Н, ком. 1, г. Москва, 105006
12988|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Алнисофт»|1117746460480||7704784467|№ 725 от 18.12.2020||пр-т Каменноостровский, д. 11, корп. 2, лит. А, пом. 87 (215), г. Санкт-Петербург, 197046
12989|2020-12-18 00:00:00|Общество с ограниченной ответственностью «АйТи-Формат»|1202300025872||2308272762|№ 725 от 18.12.2020||ул. Им. Бабушкина, д. 189, этаж 2, комн. 201, г. Краснодар, Краснодарский край, 350049
12990|2020-12-18 00:00:00|Общество с ограниченной ответственностью «ДАТАНА»|1197746204677||9717079152|№ 725 от 18.12.2020||пр-д Мурманский, д. 14, корп. 1, этаж 3, пом. 34, г. Москва, 129075
12991|2020-12-18 00:00:00|Общество с ограниченной ответственностью «АйТиСи»|1206600049688||6658537444|№ 725 от 18.12.2020||ул. Бориса Ельцина, стр. 1а, офис 16.10, г. Екатеринбург, Свердловская обл., 620014
12992|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Эмбедид Солюшенз»|1137154014557||7107542778|№ 725 от 18.12.2020||ул. Советская, д. 67, офис 316, г. Тула, Тульская обл., 300012
12993|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Интернет Страхование и Кредитование»|1127232025700||7202231980|№ 725 от 18.12.2020||ул. Пермякова, 1, 329, г. Тюмень, Тюменская обл., 625013
12994|2020-12-18 00:00:00|Непубличное акционерное общество «ЮрИнфоР»|1057748069290||7710597730|№ 725 от 18.12.2020||ул. Малая Пироговская, д. 5, этаж 3, оф. 33, г. Москва, 119435
12995|2020-12-18 00:00:00|Общество с ограниченной ответственностью «БИАЙЭКСПЕРТ»|1086952016370||6950085973|№ 725 от 18.12.2020||ул. Костюкова, д. 36, корп. Б, офис 115, г. Белгород, Белгородская обл., 308012
12996|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Хельги Лаб»|1127746315520||7720748681|№ 725 от 18.12.2020||ул. Плеханова, д. 4А, эт. 14, пом. XXXVI, ком. 13Г, г. Москва, 111123
12997|2020-12-18 00:00:00|Общество с ограниченной ответственностью «НТД Софт»|1183926036348||3906374480|№ 725 от 18.12.2020||ул. Кирпичная, д. 7, лит. В, офис 405, г. Калининград, Калининградская обл., 236006
12998|2020-12-18 00:00:00|Общество с ограниченной ответственностью «НБИКС»|1167746575600||7731319518|№ 725 от 18.12.2020||тер. Инновационного центра «Сколково», б-р Большой, д. 42, стр. 1, пом. 1448, г. Москва, 121205
12999|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Кёнинг Шпиль Портал»|1203900011446||3906394529|№ 725 от 18.12.2020||ул. Ю. Гагарина, д. 225, лит. V, каб. 09, г. Калининград, Калининградская обл., 236038
13000|2020-12-18 00:00:00|Общество с ограниченной ответственностью «СЕРВИС СОФТ»|1206900012549||6950244454|№ 725 от 18.12.2020||ул. Макарова, д. 4, корп. 1, офис 015, г. Тверь, Тверская обл., 170002
13001|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Эйч Эм Эс Стар»|1137746412682||7709929081|№ 725 от 18.12.2020||ул. Садовая-Самотечная, д. 13, стр. 1, эт. 2, пом. I, оф. 211, г. Москва, 127473
13002|2020-12-18 00:00:00|Общество с ограниченной ответственностью «Флэшстайл»|1127847084859||7801567228|№ 725 от 18.12.2020||ул. Уральская, д. 19, корп. 10, лит. А, пом. 92, г. Санкт-Петербург, 199155
